id,artist_name,artist_popularity,song,song_popularity,song_duration_ms,spotify_track_id,genre,danceability,energy,valence,acousticness,instrumentalness,speechiness,loudness,tempo,key,mode,time_signature,event_ai
1,Miley Cyrus,84,Flowers,92,200600,4DHcnVTT87F0zZhRPYmZ3B,['pop'],0.707,0.681,0.646,0.0632,5.15e-06,0.0668,-4.325,117.999,C,Major,4,R&B Night
2,Stephen Sanchez,74,Until I Found You (with Em Beihold) - Em Beihold Version,91,176440,1Y3LN4zO1Edc2EluIoSPJN,['gen z singer-songwriter'],0.551,0.55,0.342,0.777,0.0,0.0286,-5.339,101.19,A#/Bb,Major,3,Afrobeats Party
3,Rema,78,Calm Down (with Selena Gomez),93,239317,0WtM2NBVQNNJLh6scP13H8,"['afrobeats', 'nigerian pop']",0.801,0.806,0.802,0.382,0.000669,0.0381,-5.206,106.999,B,Major,4,Bollywood Night
4,Taylor Swift,100,Anti-Hero,94,200690,0V3wPSX9ygBnCm8psDIegu,['pop'],0.637,0.643,0.533,0.13,1.8e-06,0.0519,-6.571,97.008,E,Major,4,R&B Night
5,Stephen Dawes,57,Teenage Dream,76,178000,3GWaFFi6TlPcZLYmCCHZ9O,['singer-songwriter pop'],0.622,0.375,0.221,0.411,0.0,0.0279,-9.069,111.968,A#/Bb,Major,4,Pop Experience
6,Sam Smith,82,I'm Not Here To Make Friends,78,229604,3i0FkJYlU4MFfYkjFHXXAM,"['pop', 'uk pop']",0.698,0.895,0.838,0.172,1.45e-05,0.0628,-4.439,114.914,C,Major,4,R&B Night
7,Khalid,82,Location,79,219080,152lZdxL1OR0ZMW6KquMif,"['pop', 'pop r&b']",0.736,0.449,0.326,0.33,0.000162,0.425,-11.462,80.126,C#/Db,Minor,4,Classical Soiree
8,gianni & kyle,47,do u even miss me at all?,60,177626,1AHf5FSofKcUw8tyKkccKF,['indie pop rap'],0.819,0.519,0.452,0.384,0.0,0.0768,-7.16,100.039,A#/Bb,Minor,4,R&B Night
9,Post Malone,89,Congratulations,84,220293,3a1lNhkSLSkpJE4MSHpDu9,"['dfw rap', 'melodic rap', 'pop', 'rap']",0.63,0.804,0.492,0.215,0.0,0.0363,-4.183,123.146,F#/Gb,Major,4,Electronic Fusion
10,French Montana,72,Unforgettable,86,233901,3B54sVLJ402zGa6Xm4YGNe,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.726,0.769,0.733,0.0293,0.0101,0.123,-5.043,97.985,F#/Gb,Major,4,R&B Night
11,Bruno Major,65,Easily,72,210240,0RnxpSzxzwZgFQ0NahQr9K,['singer-songwriter pop'],0.773,0.256,0.357,0.491,0.00612,0.0481,-8.545,118.893,G,Minor,3,Soulful Sounds
12,Kendrick Lamar,86,All The Stars (with SZA),86,232186,3GCdLUSnKSMJhs4Tj6CV3s,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",0.698,0.633,0.552,0.0605,0.000194,0.0597,-4.946,96.924,G#/Ab,Major,4,Big Band Swing
13,PinkPantheress,76,Boy's a Liar Pt. 2,92,131013,6AQbmUe0Qwf5PZnt4HmTXv,['bedroom pop'],0.696,0.809,0.857,0.252,0.000128,0.05,-8.254,132.962,F,Major,4,Classical Soiree
14,XG,66,LEFT RIGHT,78,208065,3v5o91PrUtf0nmO6j8J7dZ,['k-pop girl group'],0.767,0.721,0.884,0.153,1.52e-06,0.0456,-5.586,150.065,C#/Db,Major,4,Indie Folk Festival
15,Sabrina Carpenter,76,Nonsense,90,163648,6dgUya35uo964z7GZXM07g,['pop'],0.74,0.697,0.732,0.0268,0.0,0.034,-4.912,138.992,G#/Ab,Major,4,Jazz Lounge
16,The Weeknd,94,Die For You,90,260253,2LBqCSwhJGcFQeTHMVGwy3,"['canadian contemporary r&b', 'canadian pop', 'pop']",0.586,0.525,0.508,0.111,0.0,0.0615,-7.163,133.629,C#/Db,Minor,4,Bollywood Night
17,Drake,94,Rich Flex,88,239359,1bDbXMyjaUIooNwFE9wn0N,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0.561,0.52,0.424,0.0503,1.86e-06,0.244,-9.342,153.15,B,Minor,3,Bollywood Night
18,Beach Weather,68,"Sex, Drugs, Etc.",82,196784,7MlDNspYwfqnHxORufupwq,[],0.57,0.842,0.47,0.0136,0.00876,0.0381,-5.085,143.975,E,Minor,4,Classical Performance
19,KAROL G,88,Tusa,76,201920,0dKg2vGC1hFqcK5LGTaKzX,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",0.799,0.701,0.607,0.309,7.36e-05,0.282,-3.272,100.946,D,Major,4,Indie Folk Festival
20,Petit Biscuit,60,Sunset Lover,70,238906,3WRQUvzRvBDr4AxMWhXc5E,['new french touch'],0.785,0.525,0.251,0.669,0.439,0.042,-7.556,90.853,F#/Gb,Major,4,Indie Folk Festival
21,Dua Lipa,86,Don't Start Now,85,183290,3PfIrDoz19wz7qK7tYeu62,"['dance pop', 'pop', 'uk pop']",0.793,0.793,0.679,0.0123,0.0,0.083,-4.521,123.95,B,Minor,4,Reggaeton Fiesta
22,Piso 21,73,Te Vi,79,231848,059bcIhyc2SBwm6sw2AZzd,"['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",0.877,0.777,0.706,0.0446,3.46e-05,0.117,-4.246,102.02,C#/Db,Major,4,Indie Pop Showcase
23,H.E.R.,72,Slide,60,236333,428JUvntvW20r9hOOpFAao,"['r&b', 'rap']",0.823,0.487,0.172,0.086,2.85e-05,0.347,-8.416,96.997,A#/Bb,Minor,4,Acoustic Serenade
24,Selena Gomez,81,Look At Her Now,65,162595,7eOkHIcaoUhngxxypM5Ajr,"['pop', 'post-teen pop']",0.753,0.564,0.55,0.114,0.0273,0.252,-7.908,77.342,A#/Bb,Minor,5,Pop Experience
